"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a new User","SUCCESS","2022-06-07T14:45:29.888+02:00[Europe/Paris]","0.0","4.11"
"User CRUD test","This will Fetch user by ID","SUCCESS","2022-06-07T14:45:34.018+02:00[Europe/Paris]","0.0","0.69"
"User CRUD test","This will Fetch user by ID","SUCCESS","2022-06-07T14:45:34.713+02:00[Europe/Paris]","0.0","0.67"
"User CRUD test","This will Delete user by ID","SUCCESS","2022-06-07T14:45:35.388+02:00[Europe/Paris]","0.0","1.74"
"User CRUD test","1. This will Verify if Total record is 20","SUCCESS","2022-06-07T14:45:37.128+02:00[Europe/Paris]","0.0","0.71"
"User CRUD test","4.All ID has status =active","SUCCESS","2022-06-07T14:45:39.232+02:00[Europe/Paris]","0.0","0.67"
"User CRUD test","5.id 3829 has gender =female","SUCCESS","2022-06-07T14:45:39.903+02:00[Europe/Paris]","0.0","0.67"
"User CRUD test","6.id 3819 has gender =male","SUCCESS","2022-06-07T14:45:40.575+02:00[Europe/Paris]","0.0","0.9"
